,name,trail_id
0,Potato Chip Rock via Mt. Woodson Trail,0
1,Vernal and Nevada Falls via the Mist Trail,1
2,Eaton Canyon Trail,2
3,Bridge to Nowhere via East Fork Trail,3
4,Alamere Falls via Coast Trail from Palomarin Trailhead,4
5,Iron Mountain Trail,5
6,Mission Peak Loop from Stanford Avenue Staging Area,6
7,Cowles Mountain Trail,7
8,Mount San Antonio & Mount Baldy Notch Trail,8
9,Half Dome Trail,9
10,Upper Yosemite Falls Trail,10
11,"Dipsea, Steep Ravine, and Matt Davis Loop",11
12,Black Star Canyon Trail,12
13,Sturtevant Falls Trail,13
14,Hidden Falls Trail,14
15,Runyon Canyon Trail,15
16,Lands End Trail,16
17,Torrey Pines Beach Trail Loop,17
18,Temescal Canyon Trail,18
19,Mount Tallac Trail,19
20,Solstice Canyon Loop Trail,20
21,Echo Mountain via Sam Merrill Trail,21
22,Etiwanda Falls Trail,22
23,Upper and Lower Winter Creek Trail Loop,23
24,Icehouse Canyon to Cucamonga Peak Trail,24
25,Three Sisters Waterfalls Trail,25
26,Castle Rock Trail to Saratoga Gap Trail and Ridge Trail Loop,26
27,Eagle Lake Trail,27
28,Dawn Mine and Sunset Trail Loop,28
29,Paradise Falls Trail,29
30,Mount Whitney via Mount Whitney Trail,30
31,Mishe Mokwa Trail to Sandstone Peak,31
32,Claremont Hills Wilderness Trail,32
33,Horsetail Falls Trail,33
34,Moro Rock Trail,34
35,El Moro Canyon Loop Trail,35
36,Los Penasquitos Canyon Trail,36
37,Lake Hodges Overlook Trail,37
38,Escondido Falls Trail,38
39,Clementine Trail to Clark's Pool,39
40,Cedar Creek Falls Trail,40
41,Switzer Falls via Gabrielino Trail,41
42,Santa Margarita River Trail,42
43,French Trail and Stream Trail Loop via Skyline Blvd,43
44,Lower Yosemite Falls Trail,44
45,San Jacinto Peak from The Tramway,45
46,Cataract Falls Trail,46
47,Mount Rubidoux Trail,47
48,Stevens Trail,48
49,Vivian Creek Trail to San Gorgonio Peak,49
50,Mount Wilson Trail via Sturtevant Trail,50
51,Fortuna Mountain Trail,51
52,Rubicon Trail,52
53,El Cajon Mountain Trail,53
54,Heart Rock Trail,54
55,Hollyridge Trail to Hollywood Sign Viewpoint,55
56,Tomales Point Trail,56
57,Ice House Canyon Trail,57
58,Castle Rock Trail,58
59,"PG&E, Upper High Meadow, Wildcat, Roque Valley and Coyote Loop",59
60,Point Lobos Loop Trail,60
61,Four Mile Trail,61
62,Muir Woods Trail,62
63,Homestead-Blue Ridge Trail,63
64,Cascade Falls Trail,64
65,Whittemore Gulch and Purisima Creek Loop Trail,65
66,Kwaay Paay Peak Trail,66
67,Los Liones Canyon and East Topanga Fire Road,67
68,Holy Jim Canyon Trail [CLOSED],68
69,Donner Creek Loop Trail,69
70,Palos Verdes Bluffs Trail,70
71,Sentinel Dome Trail,71
72,Stevens Trail,72
73,Vivian Creek Trail to San Gorgonio Peak,73
74,Mount Wilson Trail via Sturtevant Trail,74
75,Fortuna Mountain Trail,75
76,Rubicon Trail,76
77,El Cajon Mountain Trail,77
78,Heart Rock Trail,78
79,Hollyridge Trail to Hollywood Sign Viewpoint,79
80,Tomales Point Trail,80
81,Ice House Canyon Trail,81
82,Castle Rock Trail,82
83,"PG&E, Upper High Meadow, Wildcat, Roque Valley and Coyote Loop",83
84,Point Lobos Loop Trail,84
85,Four Mile Trail,85
86,Muir Woods Trail,86
87,Homestead-Blue Ridge Trail,87
88,Cascade Falls Trail,88
89,Whittemore Gulch and Purisima Creek Loop Trail,89
90,Kwaay Paay Peak Trail,90
91,Los Liones Canyon and East Topanga Fire Road,91
92,Holy Jim Canyon Trail [CLOSED],92
93,Donner Creek Loop Trail,93
94,Palos Verdes Bluffs Trail,94
95,Sentinel Dome Trail,95
96,Glacier Point Trail,96
97,Clouds Rest Trail from Tenaya Lake,97
98,South Fortuna Trail and Fortuna Saddle Trail Loop,98
99,Mount Baldy via Devil's Backbone Trail,99
100,Seaview and Big Springs Trails Loop,100
101,Michael D Antonovich Trail,101
102,Potato Mountain Wilderness Trail,102
103,Mirror Lake via Valley Loop Trail,103
104,San Bernardino Peak Trail via Angelus Oaks,104
105,Paintbrush Trail to Portugese Bend,105
106,Skyline Drive,106
107,Bonita Falls Trail,107
108,Big Pine Lakes Trail,108
109,Ryan Mountain Trail,109
110,"Lake Anza, Wildcat Gorge, Meadows Canyon, Curran Trails",110
111,Stonewall Peak Trail,111
112,Quicksilver Trail,112
113,Lake Aloha Trail,113
114,Ladder Canyon Trail,114
115,Turnbull Canyon Trail,115
116,Mount Hollywood Trail,116
117,Murphy Ranch Trail,117
118,Shirley Canyon Cascades Trail,118
119,Waterfalls of Mount Diablo Loop Trail,119
120,Fullerton Loop Trail,120
121,Hollywood Sign via Canyon Drive,121
122,Mount Zion Loop - Sturtevant to Winter Creek Trails,122
123,Suicide Rock Trail,123
124,Five Lakes Trail,124
125,Double Peak Trail,125
126,Pine Knot Trail to Grand View Point,126
127,Echo Lakes Trail,127
128,Mount Baden Powell Trail,128
129,Crystal Cove Perimeter Loop,129
130,Marion Mountain to San Jacinto,130
131,"Heather Lake, Emerald Lake, and Pear Lake Trail via Watchtower and Pear Lake Trails",131
132,Mother Miguel Mountain Via Rock House Trail,132
133,Mist Falls Trail,133
134,Mount Judah Loop Trail,134
135,Granite Lake & Maggie's Peaks,135
136,Bishop Peak Trail from Patricia Drive,136
137,Ahwingna and Native Oak Loop Trail,137
138,Monserate Mountain Trail Loop,138
139,Marshall Canyon Trail,139
140,Griffith Park Hollywood Sign Trail,140
141,Towsley Canyon Loop Trail,141
142,Montara Mountain North Peak Loop Trail,142
143,Tokopah Valley Trail to Tokopah Falls,143
144,Lake Calavera,144
145,Hermit Falls Trail,145
146,"Cataract Falls and Potrero Meadows Loop (Cataract, Helen Market, Kent, Benstein Trails)",146
147,Malibu Lake Trail,147
148,"Sunset, Sequoia Bayview, Cindarella, and Sinawik Loop",148
149,"Wisdom Tree, Cahuenga Peak and Mount Lee Summit Loop",149
150,Pyles Peak Trail,150
151,Feather Falls Loop Trail,151
152,Lassen Peak,152
153,Whiting Ranch Trail,153
154,Devils Chair Trail,154
155,Mugu Peak Trail,155
156,Bassi Falls,156
157,Round Top Loop Trail to Volcanic Trail to Skyline Trail Loop,157
158,Fairy Falls Trail to Beale/Shingle Falls,158
159,Millard Canyon Falls Trail,159
160,Mission Peak from Ohlone College Loop,160
161,Lewis Creek National Scenic Trail to Corlieu Falls and Red Rock Falls,161
162,Mount Wilson Loop via Chantry Flats,162
163,Dipsea Trail from Muir Woods to Stinson Beach,163
164,Trail Canyon Falls,164
165,Daley Ranch Loop,165
166,Eagle Rock via the PCT,166
167,Stanford Dish Loop Trail,167
168,General Sherman Tree Trail,168
169,Rainbow Falls via Devils Postpile Trail,169
170,Sly Park Jenkinson Lake Loop Trail,170
171,Cuyamaca Peak via Azalea Glen Loop,171
172,Borrego Canyon to Red Rock Canyon,172
173,Crystal Lake Trail,173
174,Loch Leven Lakes Trail,174
175,Skyline Trail: Cactus to Clouds,175
176,Tennessee Valley Trail,176
177,Montara Mountain Trail,177
178,Barker Dam Nature Trail,178
179,Los Penasquitos Canyon (from Lopez Canyon),179
180,Rodeo Beach Coastal Trail Loop,180
181,Paseo Miramar Trail,181
182,Abalone Cove Trail,182
183,Fall Creek,183
184,Cowles Mountain from Big Rock Trail,184
185,Bertha Peak Trail,185
186,Vernal and Nevada Falls via the Panorama Trail,186
187,Caballero Canyon Trail,187
188,Baldwin Hills Scenic Overlook Trail,188
189,Rock Pool and Century Lake Trails,189
190,Shipwreck Trail,190
191,Aliso Creek and Wood Canyon Loop Trail,191
192,Sunset Cliffs Park Trail,192
193,Deer Hollow Farm Trail Loop,193
194,Deep Creek Hot Springs Trail,194
195,Beaudry Loop,195
196,Bear Valley Trail To Coastal Trail,196
197,Marble Falls Trail,197
198,Upper Natural Bridge Trail,198
199,Lafayette Reservoir Nature Area Rim Trail,199
200,Grotto Trail,200
201,Cathedral Lakes Trail,201
202,Cougar Crest Trail,202
203,Bump and Grind Trail,203
204,Bridalveil Fall Trail,204
205,Fern Canyon Loop Trail,205
206,Woodson Mountain via Hwy 67,206
207,Vital Link Trail,207
208,Lake Margaret Trail,208
209,Ferndell to the West Observatory Loop Trail to Griffith Observatory,209
210,Rocky Peak Trail,210
211,Castle Peak Trail,211
212,Rae Lakes Trail,212
213,Sequoia Trail,213
214,"Torrey Pines - Red Butte, Yucca Point, and Razor Point",214
215,Panoramic Hill - Chaparral Peak - Strawberry Canyon Loop,215
216,Franklin Canyon Site Trail,216
217,Lake Miramar Trail,217
218,Training Hill,218
219,Tahquitz Peak via Devils Slide Trail,219
220,Little Lakes Valley to Gem Lakes,220
221,John Muir Trail Via Yosemite Valley,221
222,Taft Point and The Fissures,222
223,Pleasanton Ridge Trail,223
224,Mount Lowe Railway Loop,224
225,Congress Trail,225
226,"Cataract Falls Trail, High Marsh, Kent Trail, and Helen Market Trail",226
227,Inspiration Point Trail,227
228,Bootjack Trail Loop,228
229,Mitchell Creek to Diablo Summit,229
230,Mount Sutro Loop,230
231,Visitor Center Loop Trail,231
232,Rustic Canyon Loop Trail,232
233,Ernie Maxwell Scenic Trail,233
234,Inspiration Point,234
235,Vasquez Rocks Trail,235
236,"Schabarum, Purple Sage, and Powder Canyon Loop Trail",236
237,Quarry Trail,237
238,Whittemore Gulch and Harkins Ridge Loop Trail,238
239,Volcan Mountain Trail,239
240,Lost Palms Oasis,240
241,Mandeville Canyon Trail,241
242,Carbon Canyon Nature Trail,242
243,Henninger Flats Trail,243
244,Cleo's Bath Trail via Pinecrest Lake Loop,244
245,McGinty Mountain Trail,245
246,Hidden Valley Nature Trail,246
247,Devil's Slide to Saddle Junction Trail,247
248,Tahquitz Canyon Loop Trail,248
249,Strawberry Canyon Fire Trail,249
250,Skyline-to-the-Sea Trail,250
251,Bailey Canyon Trail to Jones Peak,251
252,Bronson Caves,252
253,Mishe Mokwa to Tri-Peaks and Sandstone Peak,253
254,Woodland Trail,254
255,Seven Springs Trail Loop,255
256,Bonelli Park Trail,256
257,Robie Point Firebreak Trail,257
258,Sierra Buttes Lookout Trail,258
259,Dripping Cave Hollow Oak Trail,259
260,Santiago Peak via Holy Jim Trail and Main Divide Road,260
261,Cave of Muntiz via El Escorpion Trail,261
262,Santa Ynez Canyon Waterfall Trail,262
263,Old Landing Cove Trail,263
264,Lost Palms Oasis,264
265,Mandeville Canyon Trail,265
266,Carbon Canyon Nature Trail,266
267,Henninger Flats Trail,267
268,Cleo's Bath Trail via Pinecrest Lake Loop,268
269,McGinty Mountain Trail,269
270,Hidden Valley Nature Trail,270
271,Devil's Slide to Saddle Junction Trail,271
272,Tahquitz Canyon Loop Trail,272
273,Strawberry Canyon Fire Trail,273
274,Skyline-to-the-Sea Trail,274
275,Bailey Canyon Trail to Jones Peak,275
276,Bronson Caves,276
277,Mishe Mokwa to Tri-Peaks and Sandstone Peak,277
278,Woodland Trail,278
279,Seven Springs Trail Loop,279
280,Bonelli Park Trail,280
281,Robie Point Firebreak Trail,281
282,Sierra Buttes Lookout Trail,282
283,Dripping Cave Hollow Oak Trail,283
284,Santiago Peak via Holy Jim Trail and Main Divide Road,284
285,Cave of Muntiz via El Escorpion Trail,285
286,Santa Ynez Canyon Waterfall Trail,286
287,Old Landing Cove Trail,287
288,High Peaks Condor Gulch Trail,288
289,"Dunn, Graham and West Ridge Trail Loop",289
290,Mount Diablo Grand Loop Trail,290
291,El Dorado Park Nature Trail,291
292,Tuolumne Table Mountain,292
293,Rodeo Valley Trail To Miwok Trail Loop Via Coastal Trail,293
294,Annies Canyon and Rios Avenue Trail,294
295,Kirby Cove,295
296,Dipsea Trail to Steep Ravine Trail Loop from Stinson,296
297,The Slot,297
298,Big Falls Trail,298
299,Vikingsholm Trail,299
300,Twin Lakes Trail,300
301,Gray Whale Cove Trail,301
302,Climbers Loop Trail,302
303,"Wildcat Creek Trail, Havey Creek Trail, San Pablo Ridge Trail, and Belgum Trail",303
304,Cooper Canyon Falls Trail,304
305,Corral Canyon Loop Trail,305
306,Bernardo Mountain Summit Trail,306
307,Sweeney Ridge Trail via Sneath Lane,307
308,Old Zoo Trail,308
309,San Antonio Falls Trail,309
310,"Ringtail Cat, Madrone, Las Trampas Ridge and Corduroy Hills Loop",310
311,Mission Point via Bee Canyon Trail,311
312,Borrego Palm Canyon,312
313,Lost Coast Trail: Mattole to Black Sands Beach,313
314,Duck Pass and Pika Lake Trail,314
315,Burney Falls Loop Trail,315
316,Klondike and Portuguese Canyon Trails,316
317,Rancheria Falls Trail,317
318,Pumpkin Rock Trail,318
319,Lake Poway Loop Trail,319
320,Chilnualna Falls Trail,320
321,Rancho Palos Verdes Coastal Trail,321
322,"Diablo View, Spengler, Old Briones Road, Lagoon, Toyon Canyon, Pine Tree and Orchard Loop",322
323,Oak Canyon to Grasslands Trail,323
324,Mori Point Loop Trail,324
325,Inspiration Point via Sam Merril Trail to Castle Canyon Trail,325
326,Arch Rock Nature Trail,326
327,Crystal Springs & Dean Trails,327
328,Bayview Trail,328
329,Ralston Peak Trail,329
330,Calaveras Ridge Regional Trail,330
331,Mount Thom and Tongva Peak Loop,331
332,"Coastal Trail, Miwok Trail, and Bonita Lighthouse Loop",332
333,Boy Scout Trail,333
334,Glen Alpine Trail,334
335,Baltimore Canyon Via Dawn Falls Trail Loop,335
336,Golden Eagle Trail to View Point,336
337,China Clipper Spur and Cordgrass Jetty Trail,337
338,El Moro Canyon Short Loop Trail,338
339,Bolsa Chica Ecological Reserve Trail,339
340,Mount Diablo North Peak Trail,340
341,Nortonville and Black Diamond Loop,341
342,Parker Mesa Overlook Trail,342
343,Canyon View Trail to Little Yosemite,343
344,Upper Newport Bay Ecological Reserve Loop,344
345,Edgewood Trail Loop,345
346,"East Shore, Indian Cove, McGregor and Ten Hills Trail Loop",346
347,Ho Chi Minh Trail,347
348,Clouds Rest Trail from Yosemite Valley,348
349,Independence Trail West,349
350,Lake Hollywood Trail,350
351,Cerro Alto Trail Loop,351
352,Trail of 100 Giants,352
353,North Fortuna via Rolling Hills,353
354,"Indian Joe Nature, Indian Joe Creek, Cave Rocks Road, High Valley Road, Flag Hill Road, Flag Hill Trails",354
355,Deer Canyon Loop Trail,355
356,General Grant Loop Trail,356
357,Thousand Island Lake,357
358,Sunset Peak Trail,358
359,Porter Ranch Trails,359
360,Waterman Mountain Loop Trail,360
361,Chiquito Trail to Chiquito Falls,361
362,"Clyma, Highland Ridge and Raven Loop",362
363,North Table Mountain Ecological Preserve Loop Trail,363
364,Lake Murray Trail,364
365,Hollenbeck Canyon Trail,365
366,Poop Out Trail,366
367,Steep Canyon Trail,367
368,May Trail to High Ridge Loop to Tolman Peak Trail to South Fork to Tolman Peak Trail Loop,368
369,Alta Peak Trail,369
370,Powder Canyon Loop Trail,370
371,North Dome Trail via Tioga Road,371
372,Muir Beach to Rodeo Beach,372
373,Kearsarge Pass Trail to Kearsarge Lakes,373
374,Limekiln Creek Falls Trail,374
375,La Tuna Canyon Loop Trail,375
376,Batiquitos Lagoon Trail,376
377,Fishermans Camp via Tenaja Falls Trailhead,377
378,Baldy Bowl Trail to Mount San Antonio,378
379,Parker Lake Trail,379
380,Musch Trail to Eagle Rock,380
381,Trillium Falls Trail,381
382,Valencia Peak Trail,382
383,Tuolumne Grove Trail,383
384,Waterman Mountain Loop Trail,384
385,Chiquito Trail to Chiquito Falls,385
386,"Clyma, Highland Ridge and Raven Loop",386
387,North Table Mountain Ecological Preserve Loop Trail,387
388,Lake Murray Trail,388
389,Hollenbeck Canyon Trail,389
390,Poop Out Trail,390
391,Steep Canyon Trail,391
392,May Trail to High Ridge Loop to Tolman Peak Trail to South Fork to Tolman Peak Trail Loop,392
393,Alta Peak Trail,393
394,Powder Canyon Loop Trail,394
395,North Dome Trail via Tioga Road,395
396,Muir Beach to Rodeo Beach,396
397,Kearsarge Pass Trail to Kearsarge Lakes,397
398,Limekiln Creek Falls Trail,398
399,La Tuna Canyon Loop Trail,399
400,Batiquitos Lagoon Trail,400
401,Fishermans Camp via Tenaja Falls Trailhead,401
402,Baldy Bowl Trail to Mount San Antonio,402
403,Parker Lake Trail,403
404,Musch Trail to Eagle Rock,404
405,Trillium Falls Trail,405
406,Valencia Peak Trail,406
407,Tuolumne Grove Trail,407
408,Mount Umunhum,408
409,Fortynine Palms Oasis Trail,409
410,Batteries to Bluffs Trail,410
411,Point Dume Cove Trail,411
412,Sanborn Trails,412
413,Shoreline Trail: Salt Marsh Overlook,413
414,Mount Tamalpais: Middle Peak Loop Trail,414
415,Backbone Trail to Sandstone Peak,415
416,North Trail,416
417,Big Laguna Trail,417
418,Historic Donner Pass Trail,418
419,Tecolote Canyon Trail,419
420,Tennessee Valley Golden Gate Loop Trail,420
421,North Ridge and Sunset Trail Loop,421
422,Arroyo Seco Trail,422
423,Murray Canyon Trail to Seven Falls,423
424,Reservoir Canyon Trail,424
425,San Francisco Bay Trail to Rosie the Riveter World War II Homefront National Historical Park Visitor Center,425
426,Point Reyes National Seashore Trail,426
427,Dripping Springs Campground Trail,427
428,Lost Horse Mine Loop Trail,428
429,Russian Ridge Trail,429
430,Reef Point and Crystal Cove Trail,430
431,Four Lakes Loop,431
432,City View and Walnut Forest Trails,432
433,Laurel Canyon - Bommer Ridge Loop,433
434,Wind Wolves Preserve Trail,434
435,Pyramid Peak Trail,435
436,Western States Pioneer Express Recreation Trail,436
437,Lake Gregory Trail,437
438,Squirrel Gulch Trail to Eagle Crest Trail to Ridgeline Trail Loop,438
439,Boney Mountain Overlook Trail,439
440,Bluff Trail Loop,440
441,Veteran's Park Trail,441
442,Los Gatos Creek Trail,442
443,"Skyline to the Sea, Berry Creek Falls, Hammond Road Loop",443
444,Old Pinnacles Trail Loop,444
445,Bighorn Peak and Ontario Peak,445
446,Box Springs Mountain Park,446
447,Windy Gap to Big Cienega Trail,447
448,Zumwalt Meadow And Roaring River Falls,448
449,Skull Rock Nature Trail,449
450,"Alamo, Briones to Mt. Diablo Regional Trail, Stage Ravine and Little Yosemite Valley Loop",450
451,Buck Gully Trail,451
452,Bill Cull Trail,452
453,Dipsea Steep Ravine Matt Davis Loop Trail from Pantoll,453
454,Angora Lakes Trail,454
455,"Woods, Winnemucca, and Round Top Lakes",455
456,Mojave River via the PCT,456
457,Badwater Basin Salt Flats Trail,457
458,Bear Gulch and Alambique Trail Loop,458
459,Willow Creek Trail,459
460,Sycamore Canyon Trail,460
461,Buckhart Trail to Cooper Canyon Falls,461
462,Glendale Peak Trail,462
463,Ocean Overlook Loop Trail,463
464,Crystal Cave Trail,464
465,Giant Forest Loop Trail,465
466,Wildwood Park Lizard Rock Trail,466
467,Convict Lake Loop Trail,467
